iter	TotalF1	MultiClass
0	0.8425672005	0.7548807033
1	0.8497035866	0.6060949778
2	0.852514539	0.5192728493
3	0.855026839	0.4624705398
4	0.8575783633	0.4243992617
5	0.8595727981	0.3978466974
6	0.8605587794	0.3788254065
7	0.8625101237	0.3645834204
8	0.86376507	0.353285892
9	0.8648823243	0.3448052556
10	0.8664816646	0.337541318
11	0.8674691054	0.3329727811
12	0.8683953092	0.3276744449
13	0.8696091387	0.3238383736
14	0.8711052039	0.3194359388
15	0.8719518604	0.3153593314
16	0.8725924294	0.3133445288
17	0.8736095864	0.3109135227
18	0.8747455922	0.3077076114
19	0.8755226215	0.3058265042
20	0.8760188602	0.304271664
21	0.8767955617	0.302326925
22	0.8777573595	0.3002723217
23	0.8784033532	0.2987934548
24	0.8795029289	0.2964106878
25	0.8800778965	0.2943245847
26	0.8807859281	0.2929205916
27	0.8820676369	0.2900258298
28	0.8826009492	0.2885348962
29	0.883339378	0.2870179053
30	0.8837631441	0.2860209627
31	0.8844082679	0.2847005566
32	0.8850357767	0.2829955566
33	0.8856739246	0.2817438673
34	0.886393451	0.2799987367
35	0.886852839	0.2791021481
36	0.8873543272	0.2782783167
37	0.8878497615	0.2767693793
38	0.888282096	0.2758269978
39	0.8887524794	0.2747951471
40	0.8890846116	0.2738298967
41	0.889558477	0.2728302054
42	0.8899095929	0.2720707479
43	0.8904148308	0.2708987425
44	0.8908184744	0.270067902
45	0.8913342867	0.2689669773
46	0.8919996342	0.2675844512
47	0.8923089923	0.2669773525
48	0.8926464689	0.2661839489
49	0.8928075021	0.2657323699
50	0.8930953355	0.2651477278
51	0.8934099957	0.2644507476
52	0.8935971269	0.2639332005
53	0.8938951641	0.2634021575
54	0.8942247855	0.2624595286
55	0.8945095886	0.2619080354
56	0.8951173449	0.2607273717
57	0.8952631932	0.2603296117
58	0.8954958916	0.2596375516
59	0.8958085576	0.2590159399
60	0.8962092513	0.2582535962
61	0.8964880447	0.2577491878
62	0.8967043131	0.2572816116
63	0.897039188	0.2564147086
64	0.8972515645	0.2559471048
65	0.8975771985	0.2553285441
66	0.8977866672	0.2548833146
67	0.8979678745	0.2545169169
68	0.8981543134	0.2539535495
69	0.8983819667	0.2534319893
70	0.8986382246	0.252863372
71	0.8988754154	0.2523318891
72	0.8991246535	0.2518385304
73	0.8991758427	0.2514939021
74	0.8993702651	0.2511212649
75	0.8996119982	0.2507159736
76	0.8997544391	0.2502880881
77	0.9000052966	0.2498653152
78	0.9001227519	0.2496176875
79	0.9003721423	0.2491141586
80	0.900665428	0.2485547218
81	0.9009335947	0.2480296709
82	0.9011830343	0.2476597824
83	0.9014589682	0.247063321
84	0.9016515032	0.2467123708
85	0.9019360946	0.2461503228
86	0.9021637913	0.2457525902
87	0.9023334915	0.2453037599
88	0.9024288072	0.2449686696
89	0.9025763237	0.2443892774
90	0.902745438	0.2439956679
91	0.9029073056	0.243540708
92	0.9030367653	0.2432786773
93	0.903280835	0.2427999415
94	0.9035764106	0.24237409
95	0.9036908477	0.2420907022
96	0.9038506759	0.2417633905
97	0.9040226479	0.2413413048
98	0.9041968568	0.2409695197
99	0.9043787408	0.2405883066
100	0.9045407775	0.2402552503
101	0.9048100752	0.2397896256
102	0.9049717473	0.2393381016
103	0.9051606919	0.2389302264
104	0.9053560898	0.238613882
105	0.9056240066	0.2379878449
106	0.9058161859	0.237700554
107	0.9059639021	0.2373723902
108	0.9061050746	0.2369240822
109	0.9062288587	0.2366456144
110	0.9063637908	0.2362721251
111	0.9065454579	0.2358681531
112	0.9067293596	0.2355867718
113	0.9068291816	0.2353323549
114	0.9070385254	0.2349348972
115	0.9072137088	0.2346100869
116	0.9073400843	0.2343457748
117	0.9075007472	0.2339962814
118	0.9076162666	0.2337414797
119	0.9077693963	0.2332854753
120	0.9079758375	0.2329499452
121	0.9081263932	0.2326235681
122	0.9083119426	0.2322801218
123	0.9084413758	0.2320312297
124	0.9086255112	0.2316470756
125	0.9087995627	0.2312869998
126	0.9089417152	0.2309863503
127	0.9090429648	0.2306936445
128	0.9092476825	0.2302561387
129	0.9094079691	0.2298743347
130	0.9095200921	0.2296010069
131	0.9096220644	0.2293782684
132	0.909776486	0.2291147122
133	0.9099118638	0.2288962204
134	0.9100443383	0.2285826109
135	0.9102029332	0.2283010235
136	0.9103644344	0.2280599514
137	0.9104963761	0.2278488947
138	0.9106979243	0.2275320006
139	0.9108337393	0.2273425622
140	0.9108768744	0.2271309559
141	0.9110426314	0.2267361919
142	0.9111925828	0.2264618334
143	0.9113823522	0.2261219741
144	0.911448109	0.2259005138
145	0.9116258459	0.2255342123
146	0.9117634481	0.2251730508
147	0.9118754644	0.2249386579
148	0.9120111456	0.2247372354
149	0.9121028171	0.2244845777
150	0.9122397533	0.2241438388
151	0.9123186706	0.2239335655
152	0.9124125467	0.2236953933
153	0.912539009	0.2234252815
154	0.9126320783	0.2232585472
155	0.9128606408	0.2228501498
156	0.9129354809	0.222621323
157	0.9130168237	0.2224550422
158	0.9131386632	0.2222583749
159	0.9132700573	0.222075121
160	0.9134170442	0.2217994432
161	0.9136096417	0.2213563301
162	0.9136910216	0.2211738871
163	0.9138116333	0.2209741688
164	0.9138977094	0.2207466888
165	0.9140395627	0.2204022393
166	0.9142410615	0.2200663243
167	0.9143619861	0.2198290454
168	0.9144747738	0.2195101172
169	0.9146188621	0.2192529654
170	0.9147891735	0.2189092992
171	0.9148610038	0.2186475296
172	0.9149921512	0.218432721
173	0.9151654283	0.2180089586
174	0.9152758639	0.2177525764
175	0.9153501749	0.2175483639
176	0.9154478235	0.2173436018
177	0.9155395489	0.217195476
178	0.9157213833	0.2169030999
179	0.9158126329	0.2166947233
180	0.9159218039	0.2164616223
181	0.9159803498	0.2162973755
182	0.9161217818	0.2160470129
183	0.9162255343	0.2157922524
184	0.9163341803	0.2155672738
185	0.9164098235	0.2153914689
186	0.9164519312	0.21519542
187	0.9165298008	0.2150123586
188	0.9167349899	0.214718622
189	0.9168459363	0.2145127878
190	0.917024501	0.2142495889
191	0.9170909856	0.2141032085
192	0.9172274447	0.2138840021
193	0.9172867894	0.2136483036
194	0.9174822105	0.213308994
195	0.9175843748	0.2131374083
196	0.9177248956	0.2128503647
197	0.9178292062	0.2126238606
198	0.9179097213	0.2124583631
199	0.9179788383	0.2122699143
200	0.9180421357	0.2120626646
201	0.9180860838	0.2119012902
202	0.9182524322	0.2116431489
203	0.918348642	0.2114687732
204	0.9185343863	0.2112034166
205	0.9186584452	0.2110100752
206	0.9187112584	0.2108392866
207	0.9188220929	0.2105976098
208	0.9188585203	0.2104583759
209	0.9189367228	0.2102753695
210	0.9190852296	0.2100167471
211	0.9191755619	0.2098435397
212	0.9191922181	0.2096520811
213	0.9193251291	0.2094732938
214	0.9193798657	0.2093103252
215	0.9195566936	0.2089995331
216	0.9196228277	0.2088481913
217	0.9196959604	0.2086401994
218	0.9198100442	0.2084094486
219	0.9199003825	0.2081600343
