iter	Passed	Remaining
0	50	50900
1	102	51229
2	151	50454
3	201	50097
4	248	49514
5	297	49293
6	346	49192
7	398	49360
8	449	49494
9	499	49418
10	550	49517
11	599	49339
12	647	49197
13	699	49238
14	753	49509
15	804	49485
16	856	49539
17	905	49393
18	957	49447
19	1007	49375
20	1058	49361
21	1109	49318
22	1158	49224
23	1203	48937
24	1246	48600
25	1293	48459
26	1338	48246
27	1390	48282
28	1434	48018
29	1483	47960
30	1532	47892
31	1584	47929
32	1631	47812
33	1681	47773
34	1731	47729
35	1776	47567
36	1831	47667
37	1884	47704
38	1934	47677
39	1986	47665
40	2035	47611
41	2084	47546
42	2136	47557
43	2188	47552
44	2232	47376
45	2278	47249
46	2324	47129
47	2377	47147
48	2426	47091
49	2478	47083
50	2531	47099
51	2579	47029
52	2627	46954
53	2683	47018
54	2734	46989
55	2784	46944
56	2835	46908
57	2883	46838
58	2931	46760
59	2979	46682
60	3035	46722
61	3088	46721
62	3139	46698
63	3192	46693
64	3245	46680
65	3292	46592
66	3337	46477
67	3385	46405
68	3434	46338
69	3485	46305
70	3538	46296
71	3590	46277
72	3640	46234
73	3694	46227
74	3746	46201
75	3797	46164
76	3853	46187
77	3902	46134
78	3957	46132
79	4007	46091
80	4052	45982
81	4105	45957
82	4158	45942
83	4217	45992
84	4268	45948
85	4321	45929
86	4367	45829
87	4415	45759
88	4465	45704
89	4516	45670
90	4565	45607
91	4617	45576
92	4669	45536
93	4719	45486
94	4772	45461
95	4823	45416
96	4878	45414
97	4930	45378
98	4980	45329
99	5035	45319
100	5086	45277
101	5132	45189
102	5178	45098
103	5233	45089
104	5286	45059
105	5339	45030
106	5388	44973
107	5438	44915
108	5493	44906
109	5544	44862
110	5592	44789
111	5645	44758
112	5694	44699
113	5746	44658
114	5800	44641
115	5857	44638
116	5909	44598
117	5957	44529
118	6008	44485
119	6053	44389
120	6103	44339
121	6153	44282
122	6203	44232
123	6257	44203
124	6306	44147
125	6359	44116
126	6412	44076
127	6467	44056
128	6513	43981
129	6563	43923
130	6614	43876
131	6662	43809
132	6717	43792
133	6763	43712
134	6818	43688
135	6872	43658
136	6918	43579
137	6967	43522
138	7021	43495
139	7069	43426
140	7117	43363
141	7162	43280
142	7207	43197
143	7256	43138
144	7311	43110
145	7353	43015
146	7405	42970
147	7450	42893
148	7506	42872
149	7561	42849
150	7617	42831
151	7662	42749
152	7718	42726
153	7770	42688
154	7821	42639
155	7873	42595
156	7920	42529
157	7974	42497
158	8022	42430
159	8065	42344
160	8121	42321
161	8173	42278
162	8227	42245
163	8276	42188
164	8325	42130
165	8377	42090
166	8431	42056
167	8477	41982
168	8525	41922
169	8575	41869
170	8637	41874
171	8685	41813
172	8730	41736
173	8780	41684
174	8832	41636
175	8883	41588
176	8938	41562
177	8988	41506
178	9050	41512
179	9102	41469
180	9151	41408
181	9206	41378
182	9256	41327
183	9305	41270
184	9357	41221
185	9409	41177
186	9460	41129
187	9510	41079
188	9564	41042
189	9608	40961
190	9660	40916
191	9709	40860
192	9763	40823
193	9813	40773
194	9868	40740
195	9920	40696
196	9972	40648
197	10024	40604
198	10078	40567
199	10130	40521
200	10185	40488
201	10239	40451
202	10286	40387
203	10334	40325
204	10382	40263
205	10435	40224
206	10488	40182
207	10536	40118
208	10585	40062
209	10635	40009
210	10685	39956
211	10739	39918
212	10793	39879
213	10842	39823
214	10893	39775
215	10938	39702
216	10981	39625
217	11038	39595
218	11087	39541
219	11130	39461
220	11181	39415
221	11232	39363
222	11287	39328
223	11344	39300
224	11396	39252
225	11453	39226
226	11508	39191
227	11564	39156
228	11608	39083
229	11661	39040
230	11709	38980
231	11761	38933
232	11814	38890
233	11867	38848
234	11915	38788
235	11964	38731
236	12017	38688
237	12069	38641
238	12118	38587
239	12171	38544
240	12221	38489
241	12267	38423
242	12316	38367
243	12371	38331
244	12423	38283
245	12472	38229
246	12519	38167
247	12569	38113
248	12618	38057
249	12671	38014
250	12725	37974
251	12778	37929
252	12831	37885
253	12876	37819
254	12933	37784
255	12979	37720
256	13031	37675
257	13087	37639
258	13138	37589
259	13194	37553
260	13248	37511
261	13294	37449
262	13343	37392
263	13393	37338
264	13441	37282
265	13494	37237
266	13539	37169
267	13593	37128
268	13643	37075
269	13697	37035
270	13750	36989
271	13804	36947
272	13853	36892
273	13906	36847
274	13960	36804
275	14015	36766
276	14063	36707
277	14112	36650
278	14164	36605
279	14217	36558
280	14267	36507
281	14321	36462
282	14378	36430
283	14431	36384
284	14477	36320
285	14521	36252
286	14565	36186
287	14616	36134
288	14669	36089
289	14720	36039
290	14773	35994
291	14819	35932
292	14869	35880
293	14925	35840
294	14973	35784
295	15025	35735
296	15078	35690
297	15133	35649
298	15178	35585
299	15226	35528
300	15279	35482
301	15326	35422
302	15370	35358
303	15423	35312
304	15472	35257
305	15521	35201
306	15567	35140
307	15609	35070
308	15658	35015
309	15706	34960
310	15755	34904
311	15800	34841
312	15848	34786
313	15895	34727
314	15947	34680
315	15997	34628
316	16048	34577
317	16093	34514
318	16137	34451
319	16189	34403
320	16241	34354
321	16296	34312
322	16341	34251
323	16382	34181
324	16435	34134
325	16480	34072
326	16527	34015
327	16572	33953
328	16622	33901
329	16671	33847
330	16712	33779
331	16760	33723
332	16810	33671
333	16860	33620
334	16913	33575
335	16967	33530
336	17022	33490
337	17073	33440
338	17120	33382
339	17168	33327
340	17221	33281
341	17265	33218
342	17314	33164
343	17360	33106
344	17410	33055
345	17463	33009
346	17511	32954
347	17556	32893
348	17605	32840
349	17654	32786
350	17702	32732
351	17751	32678
352	17798	32621
353	17850	32574
354	17898	32519
355	17947	32466
356	17993	32408
357	18046	32362
358	18097	32312
359	18144	32257
360	18194	32205
361	18247	32159
362	18300	32113
363	18346	32056
364	18388	31990
365	18437	31937
366	18488	31889
367	18541	31842
368	18593	31795
369	18645	31748
370	18688	31685
371	18738	31634
372	18787	31580
373	18829	31516
374	18882	31470
375	18935	31424
376	18988	31378
377	19042	31333
378	19089	31279
379	19143	31234
380	19195	31186
381	19246	31136
382	19298	31089
383	19351	31043
384	19405	30998
385	19453	30944
386	19507	30898
387	19558	30850
388	19612	30805
389	19663	30755
390	19716	30709
391	19766	30658
392	19819	30611
393	19870	30562
394	19909	30494
395	19963	30448
396	20014	30400
397	20062	30345
398	20110	30292
399	20164	30246
400	20219	30202
401	20265	30146
402	20314	30093
403	20367	30047
404	20415	29992
405	20461	29936
406	20511	29885
407	20563	29836
408	20617	29791
409	20661	29731
410	20709	29678
411	20760	29629
412	20811	29580
413	20864	29533
414	20917	29486
415	20965	29432
416	21012	29377
417	21058	29321
418	21110	29272
419	21165	29228
420	21215	29177
421	21265	29126
422	21316	29076
423	21367	29026
424	21416	28975
425	21461	28917
426	21507	28861
427	21548	28798
428	21596	28744
429	21645	28692
430	21701	28649
431	21751	28598
432	21804	28552
433	21855	28502
434	21908	28456
435	21957	28404
436	22008	28354
437	22060	28306
438	22114	28260
439	22169	28216
440	22224	28171
441	22276	28123
442	22328	28074
443	22371	28014
444	22418	27960
445	22473	27915
446	22527	27869
447	22572	27812
448	22627	27767
449	22678	27718
450	22722	27660
451	22775	27613
452	22831	27568
453	22883	27521
454	22927	27463
455	22980	27415
456	23036	27371
457	23083	27317
458	23128	27260
459	23166	27195
460	23215	27142
461	23262	27089
462	23316	27043
463	23373	27000
464	23422	26948
465	23476	26902
466	23529	26854
467	23578	26802
468	23632	26756
469	23683	26706
470	23739	26662
471	23784	26606
472	23836	26557
473	23891	26512
474	23944	26464
475	23998	26418
476	24051	26371
477	24099	26317
478	24146	26264
479	24191	26207
480	24235	26150
481	24289	26104
482	24343	26057
483	24399	26012
484	24446	25958
485	24494	25905
486	24539	25849
487	24589	25799
488	24634	25742
489	24687	25694
490	24741	25648
491	24791	25598
492	24844	25549
493	24891	25496
494	24943	25446
495	24991	25394
496	25046	25348
497	25099	25301
498	25154	25255
499	25208	25208
500	25263	25163
501	25316	25115
502	25367	25065
503	25414	25010
504	25466	24962
505	25517	24912
506	25564	24858
507	25616	24810
508	25665	24757
509	25717	24708
510	25765	24656
511	25808	24598
512	25864	24553
513	25914	24503
514	25970	24458
515	26020	24406
516	26075	24361
517	26127	24311
518	26173	24256
519	26220	24203
520	26270	24152
521	26325	24106
522	26371	24051
523	26412	23993
524	26467	23946
525	26522	23900
526	26571	23848
527	26625	23801
528	26680	23755
529	26732	23706
530	26782	23655
531	26835	23607
532	26890	23560
533	26943	23512
534	26995	23462
535	27047	23414
536	27095	23361
537	27146	23311
538	27199	23263
539	27250	23213
540	27301	23163
541	27351	23112
542	27402	23062
543	27452	23011
544	27506	22964
545	27556	22913
546	27607	22863
547	27658	22813
548	27712	22765
549	27760	22713
550	27808	22660
551	27863	22613
552	27912	22562
553	27967	22515
554	28014	22462
555	28057	22405
556	28106	22354
557	28157	22303
558	28207	22253
559	28261	22205
560	28315	22157
561	28368	22109
562	28419	22058
563	28468	22007
564	28520	21958
565	28574	21910
566	28629	21863
567	28679	21812
568	28731	21763
569	28779	21711
570	28829	21660
571	28879	21609
572	28934	21561
573	28978	21506
574	29031	21458
575	29086	21410
576	29142	21364
577	29192	21313
578	29245	21265
579	29297	21215
580	29341	21160
581	29396	21112
582	29445	21061
583	29495	21010
584	29549	20962
585	29595	20908
586	29642	20855
587	29690	20803
588	29741	20753
589	29790	20701
590	29841	20651
591	29890	20600
592	29938	20548
593	29988	20497
594	30037	20445
595	30086	20394
596	30130	20339
597	30185	20292
598	30239	20243
599	30288	20192
600	30341	20143
601	30389	20091
602	30441	20041
603	30494	19993
604	30547	19944
605	30612	19902
606	30664	19853
607	30717	19804
608	30766	19753
609	30816	19702
610	30861	19648
611	30911	19597
612	30958	19545
613	31010	19494
614	31060	19444
615	31108	19392
616	31157	19340
617	31202	19286
618	31252	19235
619	31307	19188
620	31353	19135
621	31404	19085
622	31457	19036
623	31507	18985
624	31558	18935
625	31605	18882
626	31659	18834
627	31709	18783
628	31764	18735
629	31802	18677
630	31856	18629
631	31910	18580
632	31966	18533
633	32022	18486
634	32077	18438
635	32128	18388
636	32181	18338
637	32236	18291
638	32286	18240
639	32336	18189
640	32385	18138
641	32438	18088
642	32488	18037
643	32542	17989
644	32589	17936
645	32642	17887
646	32689	17835
647	32737	17783
648	32785	17731
649	32836	17681
650	32890	17632
651	32945	17584
652	32999	17535
653	33051	17485
654	33101	17435
655	33152	17384
656	33200	17332
657	33246	17280
658	33302	17232
659	33355	17183
660	33407	17133
661	33455	17081
662	33510	17033
663	33561	16983
664	33615	16934
665	33670	16885
666	33723	16836
667	33774	16786
668	33830	16738
669	33883	16688
670	33935	16638
671	33987	16589
672	34034	16536
673	34087	16487
674	34142	16439
675	34196	16390
676	34248	16339
677	34296	16288
678	34343	16235
679	34393	16184
680	34437	16131
681	34481	16078
682	34533	16027
683	34585	15977
684	34631	15925
685	34683	15875
686	34732	15824
687	34782	15773
688	34831	15722
689	34884	15672
690	34937	15623
691	34985	15571
692	35038	15521
693	35092	15472
694	35145	15423
695	35199	15374
696	35249	15323
697	35302	15274
698	35355	15224
699	35399	15171
700	35443	15117
701	35495	15068
702	35544	15016
703	35594	14966
704	35641	14913
705	35694	14864
706	35745	14813
707	35794	14762
708	35845	14712
709	35887	14658
710	35940	14608
711	35998	14561
712	36050	14511
713	36106	14462
714	36157	14412
715	36201	14359
716	36253	14309
717	36300	14257
718	36349	14205
719	36402	14156
720	36455	14107
721	36503	14055
722	36557	14006
723	36613	13957
724	36662	13906
725	36717	13857
726	36767	13806
727	36820	13757
728	36876	13708
729	36931	13659
730	36986	13610
731	37033	13558
732	37084	13508
733	37134	13457
734	37184	13406
735	37233	13355
736	37285	13305
737	37340	13256
738	37389	13205
739	37439	13154
740	37490	13103
741	37536	13051
742	37587	13001
743	37637	12950
744	37692	12901
745	37741	12850
746	37786	12797
747	37839	12748
748	37892	12698
749	37943	12647
750	37989	12595
751	38042	12546
752	38091	12494
753	38142	12444
754	38197	12395
755	38253	12346
756	38297	12293
757	38348	12243
758	38398	12192
759	38448	12141
760	38494	12089
761	38546	12039
762	38590	11986
763	38640	11936
764	38694	11886
765	38750	11837
766	38807	11788
767	38861	11739
768	38913	11689
769	38968	11640
770	39019	11589
771	39073	11539
772	39127	11490
773	39179	11439
774	39235	11390
775	39279	11338
776	39334	11289
777	39389	11239
778	39444	11190
779	39501	11141
780	39552	11091
781	39605	11040
782	39661	10991
783	39709	10940
784	39764	10890
785	39817	10840
786	39868	10790
787	39920	10739
788	39970	10689
789	40024	10639
790	40075	10588
791	40123	10537
792	40177	10487
793	40225	10436
794	40272	10384
795	40316	10332
796	40368	10282
797	40423	10232
798	40473	10181
799	40528	10132
800	40582	10082
801	40635	10032
802	40691	9982
803	40741	9932
804	40797	9882
805	40851	9832
806	40904	9782
807	40955	9731
808	41007	9681
809	41057	9630
810	41111	9580
811	41161	9530
812	41207	9478
813	41256	9427
814	41299	9374
815	41352	9324
816	41404	9274
817	41460	9224
818	41513	9174
819	41558	9122
820	41608	9071
821	41661	9021
822	41711	8970
823	41760	8919
824	41813	8869
825	41852	8816
826	41902	8765
827	41956	8715
828	42008	8665
829	42062	8615
830	42117	8565
831	42168	8514
832	42209	8462
833	42262	8411
834	42319	8362
835	42370	8311
836	42420	8261
837	42473	8210
838	42526	8160
839	42579	8110
840	42634	8060
841	42682	8009
842	42730	7958
843	42779	7907
844	42820	7854
845	42873	7804
846	42921	7753
847	42972	7702
848	43021	7651
849	43073	7601
850	43126	7550
851	43180	7500
852	43235	7450
853	43289	7400
854	43336	7349
855	43388	7298
856	43433	7247
857	43486	7197
858	43540	7146
859	43600	7097
860	43649	7046
861	43700	6996
862	43745	6944
863	43788	6892
864	43841	6842
865	43886	6790
866	43940	6740
867	43987	6689
868	44040	6639
869	44089	6588
870	44144	6538
871	44198	6487
872	44251	6437
873	44306	6387
874	44356	6336
875	44409	6286
876	44462	6235
877	44515	6185
878	44566	6134
879	44619	6084
880	44671	6033
881	44723	5983
882	44770	5932
883	44817	5880
884	44860	5829
885	44909	5778
886	44961	5727
887	45012	5677
888	45066	5626
889	45122	5576
890	45176	5526
891	45224	5475
892	45271	5424
893	45322	5373
894	45374	5323
895	45426	5272
896	45481	5222
897	45532	5171
898	45576	5120
899	45630	5070
900	45683	5019
901	45725	4967
902	45778	4917
903	45832	4867
904	45884	4816
905	45931	4765
906	45978	4714
907	46029	4663
908	46077	4612
909	46123	4561
910	46173	4510
911	46222	4460
912	46270	4409
